route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
152_0,1,782,Cais Sodré - Moscavide,,3,,,
213_0,1,24E,Pç. Luis Camões - Campolide,,3,,,
224_0,1,37B,Cruz da Pedra / circulação Alameda,,3,,,
251_0,1,49B,Estação Roma-Areeiro / circulação Olaias,,3,,,
173_0,1,737,Pç. Figueira - Castelo,,3,,,
117_0,1,738,Estrada Luz - Alto Sto. Amaro,,3,,,
151_0,1,781,Cais Sodré - Prior Velho,,3,,,
210_0,1,31B,ISEL / circulação B. Alfinetes - Bela Vista,,3,,,
104_0,1,729,B. Padre Cruz - Algés,,3,,,
104_1,1,729,Belém - Cç. Ajuda - Palácio Nacional Ajuda,,3,,,
148_0,1,709,Rossio - Campo Ourique,,3,,,
282_0,1,763,Lumiar - Colégio Militar (Metro),,3,,,
104_5,1,729,B. Calhariz Benfica - Palácio Nacional Ajuda,,3,,,
104_6,1,729,Cç. Ajuda / R. Gen. João Almeida - Lg. Princesa,,3,,,
193_2,1,776,Algés - Cruz Quebrada (Fac. Motricidade Humana),,3,,,
193_0,1,776,Algés - Cruz Quebrada,,3,,,
112_0,1,767,Campo Mártires Pátria - Reboleira (Metro),,3,,,
169_0,1,748,Marquês Pombal - Linda-a-Velha,,3,,,
112_1,1,767,Estação Damaia - R. Prof. Francisco Gentil (Metro),,3,,,
211_0,1,32B,ISEL / circulação Bela Vista - B. Alfinetes,,3,,,
64_0,1,207,Cais Sodré - Fetais,,3,,,
204_3,1,728,Av. Mediterrâneo - R. Fernando Palha,,3,,,
204_1,1,728,Gás Portugal - Portela - Av. Descobrimentos,,3,,,
204_0,1,728,Restelo - Portela,,3,,,
248_0,1,771,Sete Rios - Boa-Hora,,3,,,
204_4,1,728,Pç. Comércio - Mosteiro Jerónimos,,3,,,
111_0,1,768,Cidade Universitária - B. Padre Cruz,,3,,,
120_0,1,799,Colégio Militar (Metro) - Alfragide Norte,,3,,,
111_2,1,768,Sete Rios - R. Formosinho Sanchez,,3,,,
106_3,1,750,Algés (Mercado) - B. Alto Moinho,,3,,,
106_0,1,750,Estação Oriente - Algés,,3,,,
106_4,1,750,R. Latino Coelho - Av. Bombeiros V. Algés (Cinema),,3,,,
178_0,1,724,Alcântara - Pontinha,,3,,,
178_1,1,724,Estação Benfica - Av. Gomes Pereira - Pontinha,,3,,,
